Industry,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
          Printing and related support activities,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2
          Petroleum and coal products,0.6,0.4,0.4,0.6,0.4,0.7,0.9,1.1,1.0,1.1,1.0,0.7,1.2
          Chemical products,1.7,1.6,1.5,1.5,1.6,1.5,1.6,1.5,1.5,1.6,1.4,1.7,1.6
          Plastics and rubber products,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.5,0.5
      Wholesale trade,6.3,6.2,6.2,6.0,5.8,5.7,5.8,5.7,5.8,5.8,5.8,5.5,5.5
      Retail trade,7.1,7.0,6.9,6.8,6.9,6.9,6.7,6.6,6.5,6.3,5.9,6.0,6.1
      Transportation and warehousing,3.1,3.1,3.0,2.9,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.8
          Air transportation,0.6,0.6,0.5,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4
          Rail transportation,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
          Water transportation,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
          Truck transportation,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8
          Transit and ground passenger transportation,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
          Pipeline transportation,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
          Other transportation and support activities,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6
          Warehousing and storage,0.3,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3
      Information,4.4,4.7,4.2,4.4,4.7,4.5,4.7,4.6,4.4,4.5,4.5,4.4,4.3
          Publishing industries (includes software),1.1,1.4,1.0,1.0,1.1,1.1,1.2,1.2,1.0,1.1,1.0,1.0,1.0
          Motion picture and sound recording industries,0.4,0.5,0.4,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4
          Broadcasting and telecommunications,2.5,2.5,2.6,2.6,2.5,2.4,2.4,2.5,2.4,2.5,2.5,2.4,2.4
          Information and data processing services,0.4,0.3,0.2,0.4,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.5
    Finance/insurance/real estate/rental/leasing,19.3,19.6,20.1,20.9,20.9,20.8,20.3,20.6,20.7,20.4,20.4,21.3,20.7
      Finance and insurance,7.2,7.3,7.7,8.2,8.1,8.1,7.8,8.1,8.2,7.7,7.3,7.9,8.5
          Federal Reserve banks/credit intermediation/related activities,3.2,3.4,3.4,3.7,4.1,4.1,3.6,3.7,3.6,3.4,3.5,3.8,4.0
          Securities/commodity contracts/investments,1.3,1.2,1.3,1.7,1.4,1.3,1.2,1.4,1.6,1.3,1.0,1.2,1.4
          Insurance carriers and related activities,2.6,2.5,2.8,2.5,2.3,2.5,2.6,2.6,2.7,2.8,2.4,2.7,2.8
          Funds/trusts/other financial vehicles,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.2,0.3
      Real estate and rental and leasing,12.1,12.3,12.4,12.8,12.8,12.7,12.5,12.5,12.5,12.7,13.1,13.4,12.2
          Real estate ,10.8,10.9,11.0,11.3,11.4,11.4,11.3,11.3,11.1,11.3,11.7,12.0,10.8
          Rental and leasing services and lessors of intangible assets,1.3,1.4,1.4,1.5,1.4,1.3,1.2,1.2,1.4,1.3,1.4,1.3,1.4
    Professional and business services,10.5,10.8,11.2,11.4,11.3,11.3,11.4,11.6,11.7,12.1,12.5,12.0,12.3
      Professional/scientific/technical services,6.3,6.5,6.7,6.8,6.8,6.7,6.8,6.9,7.1,7.3,7.7,7.4,7.5
          Legal services,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.6,1.5,1.5
          Computer systems design and related services,1.0,1.1,1.1,1.1,1.0,1.0,1.0,1.0,1.1,1.1,1.2,1.2,1.3
          Miscellaneous professional/scientific/technical services,3.9,4.0,4.1,4.2,4.3,4.2,4.3,4.3,4.5,4.7,4.9,4.7,4.8
      Management of companies and enterprises,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8
      Administrative and waste management services,2.7,2.7,2.8,2.9,2.8,2.9,2.8,2.9,2.9,3.0,2.9,2.8,2.9
          Administrative and support services,2.4,2.5,2.6,2.6,2.5,2.6,2.5,2.6,2.6,2.7,2.6,2.6,2.6
          Waste management and remediation services,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
    Educational services/health care/social assistance,6.8,6.8,6.8,7.1,7.4,7.6,7.6,7.6,7.6,7.7,8.1,8.7,8.8
      Educational services,0.8,0.8,0.9,0.9,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.1
      Health care and social assistance,6.0,6.0,6.0,6.2,6.5,6.7,6.7,6.6,6.6,6.7,7.0,7.6,7.6
          Ambulatory health care services,2.9,2.9,2.9,3.0,3.2,3.2,3.2,3.2,3.2,3.2,3.4,3.6,3.8
          Hospitals and nursing and residential care facilities,2.6,2.6,2.5,2.6,2.8,2.9,2.9,2.8,2.8,2.9,3.0,3.3,3.2
          Social assistance,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
    Arts/entertainment/recreation/accommodation/food services,3.7,3.8,3.8,3.8,3.9,3.8,3.9,3.8,3.8,3.9,3.8,3.7,3.8
      Arts/entertainment/recreation,0.9,1.0,1.0,0.9,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,1.0
          Performing arts/spectator sports/museums/related activities,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6
          Amusements/gambling/recreation industries,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
      Accommodation and food services,2.7,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.8,2.8,2.9
          Accommodation,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.8,0.7,0.8
          Food services and drinking places,1.9,1.9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.1,2.1
    Other services/except government,2.8,2.8,2.8,2.6,2.7,2.6,2.5,2.5,2.5,2.5,2.4,2.4,2.5
  Government,12.5,12.3,12.2,12.4,12.7,12.9,12.7,12.6,12.5,12.5,13.0,13.8,13.6
      Federal,4.0,3.9,3.8,3.7,3.9,4.0,4.0,4.0,3.9,3.9,4.1,4.4,4.5
          General government,3.3,3.2,3.2,3.2,3.3,3.4,3.5,3.5,3.4,3.5,3.6,4.0,4.1
          Government enterprises,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4
      State and local,8.5,8.5,8.4,8.7,8.8,8.9,8.7,8.6,8.5,8.6,8.9,9.4,9.1
          General government,7.7,7.7,7.7,7.9,8.1,8.2,8.0,7.9,7.9,8.0,8.3,8.7,8.4
          Government enterprises,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.7
